date,momism,mommentary,definition,example,filename,alt,order,links
2021-10-23,I'm busting,,,,,,009,
2021-10-06,I'm so dry ,none yet,"I'm thirsty, I need a drink of water",I'm so dry. Lemme just grab a glass of water,,,001,
2021-10-23,One's kishkes are turning,,One feels anxious,,,,008,
2021-10-18,Pillow feet,They’re like fat little cushions,Honey's soft feet,,,,007,
2021-10-18,Piss and vinegar,,"Spunk, vivacity",She's 87 but still full of piss and vinegar,,,004,
2021-10-18,Schmitchick,,,,,,005,
2021-10-18,"Shit, piss, and corruption ",,,,,,002,
2021-11-18,They took out my kishkes,,"It's ""having your guts ripped out of you."" Another way of saying being put through the ringer, an ordeal.",,,,010,
2021-10-18,Thingem,,Thing,,,,006,
2021-12-08,Wear it well,,A blessing for new clothing,Nice shirt. Wear it well.,,,011,
2021-10-18,Who are we to say nay and twitter,Comes from a friend,"As in, ""Who are we to complain"" rhetorical question indicating the lack of standing to criticize",,,,003,
